time,Ar,Ar+,e,rate_constant0,rate_constant1,reduced_field
1.801e-07,2.5e+19,15598.516676892,15598.516676892,2.1386114073406e-12,1e-25,30
1.802e-07,2.5e+19,15682.362877189,15682.362877189,2.1386114073406e-12,1e-25,30
1.803e-07,2.5e+19,15766.659773244,15766.659773244,2.1386114073406e-12,1e-25,30
1.804e-07,2.5e+19,15851.409787667,15851.409787667,2.1386114073406e-12,1e-25,30
1.805e-07,2.5e+19,15936.615356091,15936.615356091,2.1386114073406e-12,1e-25,30
1.806e-07,2.5e+19,16022.27892724,16022.27892724,2.1386114073406e-12,1e-25,30
1.807e-07,2.5e+19,16108.402963002,16108.402963002,2.1386114073406e-12,1e-25,30
1.808e-07,2.5e+19,16194.989938497,16194.989938497,2.1386114073406e-12,1e-25,30
1.809e-07,2.5e+19,16282.04234215,16282.04234215,2.1386114073406e-12,1e-25,30
1.81e-07,2.5e+19,16369.562675762,16369.562675762,2.1386114073406e-12,1e-25,30
1.811e-07,2.5e+19,16457.553454581,16457.553454581,2.1386114073406e-12,1e-25,30
1.812e-07,2.5e+19,16546.017207377,16546.017207377,2.1386114073406e-12,1e-25,30
1.813e-07,2.5e+19,16634.956476511,16634.956476511,2.1386114073406e-12,1e-25,30
1.814e-07,2.5e+19,16724.373818011,16724.373818011,2.1386114073406e-12,1e-25,30
1.815e-07,2.5e+19,16814.271801643,16814.271801643,2.1386114073406e-12,1e-25,30
1.816e-07,2.5e+19,16904.653010988,16904.653010988,2.1386114073406e-12,1e-25,30
1.817e-07,2.5e+19,16995.520043512,16995.520043512,2.1386114073406e-12,1e-25,30
1.818e-07,2.5e+19,17086.875510646,17086.875510646,2.1386114073406e-12,1e-25,30
1.819e-07,2.5e+19,17178.722037857,17178.722037857,2.1386114073406e-12,1e-25,30
1.82e-07,2.5e+19,17271.062264723,17271.062264723,2.1386114073406e-12,1e-25,30
1.821e-07,2.5e+19,17363.898845012,17363.898845012,2.1386114073406e-12,1e-25,30
1.822e-07,2.5e+19,17457.234446757,17457.234446757,2.1386114073406e-12,1e-25,30
1.823e-07,2.5e+19,17551.071752332,17551.071752332,2.1386114073406e-12,1e-25,30
1.824e-07,2.5e+19,17645.413458528,17645.413458528,2.1386114073406e-12,1e-25,30
1.825e-07,2.5e+19,17740.262276634,17740.262276634,2.1386114073406e-12,1e-25,30
1.826e-07,2.5e+19,17835.620932513,17835.620932513,2.1386114073406e-12,1e-25,30
1.827e-07,2.5e+19,17931.492166678,17931.492166678,2.1386114073406e-12,1e-25,30
1.828e-07,2.5e+19,18027.878734376,18027.878734376,2.1386114073406e-12,1e-25,30
1.829e-07,2.5e+19,18124.783405661,18124.783405661,2.1386114073406e-12,1e-25,30
1.83e-07,2.5e+19,18222.208965479,18222.208965479,2.1386114073406e-12,1e-25,30
1.831e-07,2.5e+19,18320.158213746,18320.158213746,2.1386114073406e-12,1e-25,30
1.832e-07,2.5e+19,18418.633965426,18418.633965426,2.1386114073406e-12,1e-25,30
1.833e-07,2.5e+19,18517.639050617,18517.639050617,2.1386114073406e-12,1e-25,30
1.834e-07,2.5e+19,18617.176314628,18617.176314628,2.1386114073406e-12,1e-25,30
1.835e-07,2.5e+19,18717.248618062,18717.248618062,2.1386114073406e-12,1e-25,30
1.836e-07,2.5e+19,18817.858836899,18817.858836899,2.1386114073406e-12,1e-25,30
1.837e-07,2.5e+19,18919.009862579,18919.009862579,2.1386114073406e-12,1e-25,30
1.838e-07,2.5e+19,19020.704602082,19020.704602082,2.1386114073406e-12,1e-25,30
1.839e-07,2.5e+19,19122.945978017,19122.945978017,2.1386114073406e-12,1e-25,30
1.84e-07,2.5e+19,19225.736928701,19225.736928701,2.1386114073406e-12,1e-25,30
1.841e-07,2.5e+19,19329.080408243,19329.080408243,2.1386114073406e-12,1e-25,30
